CONTENTID,CONTENTTYPEID,TITLE,ADDR1,ADDR2,AREACODE,CAT1,CAT2,CAT3,CREATEDTIME,FIRSTIMAGE,FIRSTIMAGE2,MAPX,MAPY,MLEVEL,MODIFIEDTIME,SIGUNGUCODE,ZIPCODE,TEL,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
2598695,39,㈜피에프비파트너스 마린칸토,서울특별시 용산구 청파로 74,NULL,1,A05,A0502,A05020300,2.01904E+13,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,126.9575071,37.53569357,6,2.02007E+13,21,4372,02-712-5005,0,I,2.02111E+13,NULL,NULL,N,NULL
1797757,39,가경식당,충청남도 부여군 부여읍 성왕로 286,NULL,34,A05,A0502,A05020100,2.01302E+13,NULL,NULL,126.9189338,36.28324568,6,2.0211E+13,6,33148,041-835-5338,1,I,2.02111E+13,NULL,NULL,N,NULL
2572443,39,가고파식당,경상남도 통영시 한산면 한산일주로 856,NULL,36,A05,A0502,A05020100,2.01812E+13,NULL,NULL,128.506467,34.76713127,6,2.02007E+13,17,53092,055-641-8388,2,I,2.02111E+13,NULL,NULL,N,NULL
1928589,39,가나샤브샤브,대전광역시 유성구 신성로84번길 49,NULL,3,A05,A0502,A05020100,2.01406E+13,NULL,NULL,127.35127,36.38901617,6,2.02111E+13,4,34116,042-862-9288,3,I,2.02111E+13,NULL,NULL,N,NULL
1604693,39,가나안식당,전라북도 남원시 관서당길 23,NULL,37,A05,A0502,A05020100,2.01204E+13,NULL,NULL,127.3810351,35.4044787,6,2.02107E+13,4,55775,063-632-5566,4,I,2.02111E+13,NULL,NULL,N,NULL
250577,39,가남지,대전광역시 유성구 대덕대로 588,NULL,3,A05,A0502,A05020500,2.0071E+13,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image3_1.jpg,127.3788898,36.38535041,6,2.02109E+13,4,34121,042-861-7557,5,I,2.02111E+13,NULL,NULL,N,NULL
597467,39,가덕도횟집,인천광역시 중구 연안부두로 61,NULL,2,A05,A0502,A05020100,2.00807E+13,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,126.5998643,37.45348843,6,2.02004E+13,10,22348,032-882-8505,6,I,2.02111E+13,NULL,NULL,N,NULL
798518,39,가든갤러리,경기도 남양주시 강변북로632번길 57-28,NULL,31,A05,A0502,A05020200,2.00909E+13,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image3_1.jpg,127.1740748,37.58788307,6,2.02101E+13,9,12268,031-566-7777,7,I,2.02111E+13,NULL,NULL,N,NULL
134960,39,가든이천공원,경기도 이천시 부발읍 경충대로2300번길 21-7,NULL,31,A05,A0502,A05020100,2.00503E+13,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image3_1.jpg,127.4733791,37.26453708,6,2.0211E+13,26,17327,031-636-9222,8,I,2.02111E+13,NULL,NULL,N,NULL
2757617,39,가락골마산아구찜,서울특별시 송파구 송이로19길 3,(가락동),1,A05,A0502,A05020100,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/88/2770188_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2770188_image3_1.jpg,127.1217599,37.49751206,6,2.02111E+13,18,5714,NULL,9,I,2.02111E+13,NULL,NULL,N,NULL
2013680,39,가람,충청북도 제천시 수산면 월악로 2970,NULL,33,A05,A0502,A05020100,2.01507E+13,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,NULL,NULL,NULL,2.02109E+13,7,27220,043-651-2264,10,I,2.02111E+13,NULL,NULL,N,NULL
2736710,39,가람,경기도 광주시 남종면 산수로 1633-20,NULL,31,A05,A0502,A05020200,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/69/2750669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2750669_image2_1.jpg,127.2991161,37.4959349,6,2.02109E+13,5,12708,NULL,11,I,2.02111E+13,NULL,NULL,N,NULL
